ortho	Gene Ontology IDs
N0.HOG0024733	GO:0000049;GO:0000154;GO:0000781;GO:0002101;GO:0003723;GO:0005524;GO:0005634;GO:0005654;GO:0005697;GO:0005730;GO:0006417;GO:0006473;GO:0008080;GO:0010824;GO:0016020;GO:0030496;GO:0032040;GO:0032211;GO:0042274;GO:0045727;GO:0051391;GO:0051392;GO:0070182;GO:0106162;GO:1904812;GO:1990883
N0.HOG0019586	GO:0001964;GO:0005251;GO:0005516;GO:0005637;GO:0005886;GO:0006813;GO:0008076;GO:0009986;GO:0019901;GO:0030424;GO:0030425;GO:0030673;GO:0031901;GO:0034220;GO:0034705;GO:0042127;GO:0042391;GO:0042734;GO:0042802;GO:0043025;GO:0043204;GO:0044325;GO:0044877;GO:0048471;GO:0071277;GO:0071805;GO:0071889;GO:0098688;GO:0098839;GO:0099508;GO:0099509;GO:1902936;GO:2000300
N0.HOG0028297	GO:0000139;GO:0000301;GO:0005654;GO:0005794;GO:0005829;GO:0007030;GO:0015031;GO:0017119;GO:0048219;GO:0070085
N0.HOG0028370	GO:0000226;GO:0005524;GO:0005737;GO:0005874;GO:0015631;GO:0030317;GO:0031514;GO:0036064;GO:0036211;GO:0046872;GO:0070740;GO:0106438
N0.HOG0029326	GO:0005242;GO:0005249;GO:0005267;GO:0005886;GO:0006813;GO:0007623;GO:0020037;GO:0034702;GO:0042391;GO:0044877;GO:0071805
N0.HOG0027099	GO:0000049;GO:0002098;GO:0005506;GO:0005634;GO:0005737;GO:0005829;GO:0006974;GO:0008270;GO:0008757;GO:0016300;GO:0016706;GO:0030488;GO:0106335
N0.HOG0003744	GO:0001653;GO:0004383;GO:0004672;GO:0005524;GO:0005525;GO:0005886;GO:0006182;GO:0007166;GO:0007168;GO:0007589;GO:0008217;GO:0008528;GO:0010753;GO:0016525;GO:0016941;GO:0017046;GO:0019934;GO:0030308;GO:0035810;GO:0035815;GO:0042417;GO:0042562;GO:0043114;GO:0043235;GO:0048662;GO:0097746;GO:1990620
N0.HOG0027390	GO:0016020
N0.HOG0009153	GO:0001725;GO:0001726;GO:0003779;GO:0005737;GO:0005829;GO:0015629;GO:0016567;GO:0030027;GO:0031463;GO:0042803;GO:1990756
N0.HOG0007198	GO:0000139;GO:0004252;GO:0005802;GO:0016485
N0.HOG0026911	GO:0000727;GO:0000785;GO:0003688;GO:0003697;GO:0005524;GO:0005634;GO:0006270;GO:0006279;GO:0009378;GO:0016887;GO:0030174;GO:0036121;GO:0042555;GO:0044786;GO:0061749;GO:0071162;GO:1990518
N0.HOG0029969	GO:0000086;GO:0000287;GO:0000819;GO:0000922;GO:0001827;GO:0001828;GO:0004674;GO:0004676;GO:0004677;GO:0004679;GO:0004694;GO:0004711;GO:0005524;GO:0005737;GO:0005813;GO:0006468;GO:0008104;GO:0009755;GO:0017015;GO:0019901;GO:0030216;GO:0030331;GO:0030496;GO:0030833;GO:0033146;GO:0035175;GO:0035329;GO:0035402;GO:0035403;GO:0035979;GO:0044022;GO:0044023;GO:0044024;GO:0044025;GO:0045736;GO:0051301;GO:0060644;GO:0072354;GO:0072371;GO:0072518;GO:0090090;GO:0098794;GO:0098978;GO:0099151;GO:0106310;GO:0140823;GO:0140855;GO:0140857;GO:1900181;GO:1900227;GO:1990244;GO:2000058
N0.HOG0027983	GO:0005737;GO:0005739
N0.HOG0012705	GO:0001018;GO:0001666;GO:0003697;GO:0003727;GO:0004176;GO:0004252;GO:0005524;GO:0005654;GO:0005739;GO:0005759;GO:0005829;GO:0006508;GO:0006515;GO:0007005;GO:0009725;GO:0010044;GO:0016887;GO:0030163;GO:0034599;GO:0042645;GO:0042731;GO:0042802;GO:0043531;GO:0043560;GO:0043565;GO:0046627;GO:0051131;GO:0051603;GO:0051880;GO:0065003;GO:0070182;GO:0070407
N0.HOG0027313	GO:0003725;GO:0005764;GO:0005886;GO:0015485;GO:0050658;GO:0051033
N0.HOG0025213	GO:0005737;GO:0006548;GO:0019556;GO:0019557;GO:0046872;GO:0050480
N0.HOG0025587	GO:0000779;GO:0000793;GO:0000794;GO:0000796;GO:0005634;GO:0005737;GO:0005829;GO:0007076;GO:0016020;GO:0051301;GO:0051984;GO:1905820;GO:1905821
N0.HOG0026389	GO:0000139;GO:0004336;GO:0004348;GO:0005789;GO:0005829;GO:0005975;GO:0006680;GO:0007417;GO:0008203;GO:0008206;GO:0008422;GO:0016020;GO:0016139;GO:0021954;GO:0030259;GO:0030833;GO:0031113;GO:0046527;GO:0050295;GO:0097035
N0.HOG0027420	GO:0000785;GO:0001878;GO:0003677;GO:0003682;GO:0005524;GO:0006270;GO:0008270;GO:0009378;GO:0016887;GO:0030174;GO:0036121;GO:0042555;GO:0044786;GO:0061749;GO:0071162;GO:1990518
N0.HOG0020863	GO:0005634;GO:0008540;GO:0022624;GO:0030234;GO:0034515;GO:0042176;GO:0043161
N0.HOG0030304	GO:0005249;GO:0015269;GO:0034702;GO:0042311;GO:0042391;GO:0045211;GO:0046872;GO:0060072;GO:0071805
N0.HOG0026965	GO:0005096;GO:0005543;GO:0005829;GO:0007165;GO:0008270;GO:0030154;GO:0035556;GO:0046580;GO:0071277;GO:1903861
N0.HOG0008625	GO:0002322;GO:0002337;GO:0004435;GO:0005737;GO:0006629;GO:0007214;GO:0032228;GO:0035556;GO:0050811;GO:0050859;GO:0070679;GO:0120163
N0.HOG0010781	GO:0000146;GO:0001917;GO:0003779;GO:0004672;GO:0004674;GO:0004676;GO:0004677;GO:0004679;GO:0004694;GO:0004711;GO:0005516;GO:0005524;GO:0005737;GO:0007601;GO:0007605;GO:0016459;GO:0016887;GO:0030175;GO:0030832;GO:0031941;GO:0032426;GO:0032433;GO:0035175;GO:0035402;GO:0035403;GO:0035979;GO:0043531;GO:0044022;GO:0044023;GO:0044024;GO:0044025;GO:0046777;GO:0051491;GO:0060002;GO:0072354;GO:0072371;GO:0072518;GO:0090103;GO:0106310;GO:0140823;GO:0140855;GO:0140857;GO:1990244
N0.HOG0029627	GO:0005737;GO:0031417;GO:0043066;GO:0048659
N0.HOG0029101	GO:0000978;GO:0005654;GO:0007507;GO:0010468;GO:0031490;GO:0032452;GO:0044666;GO:0046872;GO:0071558
N0.HOG0028997	GO:0000976;GO:0003682;GO:0005669;GO:0006367
N0.HOG0026138	GO:0005886;GO:0015271;GO:0046872;GO:0051289;GO:0060078;GO:0071805;GO:0098839
N0.HOG0030066	GO:0005929;GO:0005930;GO:0015031;GO:0032266;GO:0034451;GO:0034464;GO:0036064;GO:0060170;GO:0060271;GO:0061629
N0.HOG0003800	GO:0005283;GO:0005332;GO:0005886;GO:0006865;GO:0007612;GO:0007613;GO:0008306;GO:0009636;GO:0009744;GO:0009986;GO:0010288;GO:0014054;GO:0014070;GO:0014074;GO:0015185;GO:0015378;GO:0030424;GO:0032229;GO:0032355;GO:0035725;GO:0042220;GO:0042734;GO:0042802;GO:0043025;GO:0045211;GO:0046872;GO:0050808;GO:0051592;GO:0051939;GO:0098658;GO:0098719;GO:0098810;GO:0098982;GO:1902476;GO:1904313
N0.HOG0016099	GO:0004843;GO:0006508;GO:0016579
N0.HOG0028148	GO:0004567;GO:0005537;GO:0005886;GO:0006516;GO:0009313;GO:0035577;GO:0036211;GO:0043202;GO:0043231
N0.HOG0029514	GO:0008424;GO:0017124;GO:0018279;GO:0032580;GO:0046368
N0.HOG0030033	GO:0005737;GO:0005856;GO:0007283;GO:0007288;GO:0030317;GO:0031514
N0.HOG0029888	GO:0004559;GO:0005654;GO:0005829;GO:0006013;GO:0009313;GO:0030246;GO:0046872
N0.HOG0008181	GO:0000226;GO:0004674;GO:0004676;GO:0004677;GO:0004679;GO:0004694;GO:0004711;GO:0005524;GO:0005737;GO:0005886;GO:0006468;GO:0018105;GO:0030425;GO:0032092;GO:0035175;GO:0035331;GO:0035402;GO:0035403;GO:0035556;GO:0035979;GO:0036289;GO:0044022;GO:0044023;GO:0044024;GO:0044025;GO:0050321;GO:0072354;GO:0072371;GO:0072518;GO:0106310;GO:0140823;GO:0140855;GO:0140857;GO:1900181;GO:1990244
N0.HOG0028671	GO:0005634;GO:0005654;GO:0005737;GO:0007052;GO:0007346;GO:0016180;GO:0016604;GO:0030317;GO:0032039;GO:0034243;GO:0043231;GO:0051301;GO:0051642;GO:0080154;GO:0090435
N0.HOG0026044	GO:0002357;GO:0005737;GO:0005829;GO:0005929;GO:0007283;GO:0008285;GO:0015631;GO:0030154;GO:0043014;GO:0048487
N0.HOG0028322	GO:0005085;GO:0005829;GO:0006886;GO:0016020;GO:0031267;GO:0032991;GO:0034066;GO:0042147;GO:0042177;GO:0043547
