HOG,OG,Gene.Tree.Parent.Clade,cnat_ref_proteome,mcav_ref_proteome,ofav_ref_proteome,ofra_ref_proteome
N0.HOG0001815,OG0000037,n60,TRINITY_DN240274_c0_g1_i2.p1,TRINITY_DN26929_c0_g1_i6.p1,TRINITY_DN268517_c0_g1_i3.p1,TRINITY_DN336545_c0_g1_i2.p1
N0.HOG0001830,OG0000037,n135,TRINITY_DN41466_c0_g1_i2.p1,TRINITY_DN9264_c0_g2_i1.p4,TRINITY_DN298633_c0_g1_i2.p1,TRINITY_DN142664_c0_g2_i1.p1
N0.HOG0001921,OG0000041,n39,TRINITY_DN116410_c0_g1_i7.p1,TRINITY_DN28358_c0_g1_i2.p1,TRINITY_DN13461_c1_g1_i5.p1,TRINITY_DN3962_c0_g1_i8.p2
N0.HOG0001935,OG0000042,n1,TRINITY_DN33763_c0_g1_i11.p1,TRINITY_DN14260_c0_g1_i4.p1,TRINITY_DN37253_c0_g1_i3.p1,TRINITY_DN79526_c0_g1_i2.p1
N0.HOG0001952,OG0000042,n94,TRINITY_DN22311_c0_g1_i8.p1,TRINITY_DN93658_c0_g1_i16.p1,TRINITY_DN4210_c0_g1_i12.p1,TRINITY_DN714_c0_g1_i4.p1
N0.HOG0001964,OG0000042,n136,TRINITY_DN4097_c2_g1_i3.p2,TRINITY_DN3296_c0_g1_i1.p1,TRINITY_DN20311_c0_g1_i6.p1,TRINITY_DN17744_c0_g1_i5.p1
N0.HOG0001972,OG0000043,n34,TRINITY_DN5133_c0_g1_i8.p1,TRINITY_DN1208_c2_g1_i12.p1,TRINITY_DN16352_c0_g1_i10.p1,TRINITY_DN10390_c1_g1_i4.p1
N0.HOG0001999,OG0000044,n1,TRINITY_DN61888_c0_g1_i1.p1,TRINITY_DN62000_c0_g1_i3.p1,TRINITY_DN88297_c0_g1_i9.p1,TRINITY_DN49186_c0_g1_i3.p2
N0.HOG0002102,OG0000047,n89,TRINITY_DN1681_c0_g1_i2.p1,TRINITY_DN86384_c0_g1_i4.p1,TRINITY_DN34094_c1_g1_i3.p1,TRINITY_DN159032_c0_g1_i1.p1
N0.HOG0002160,OG0000049,n107,TRINITY_DN260607_c0_g1_i1.p1,TRINITY_DN54669_c0_g1_i2.p1,TRINITY_DN117959_c0_g1_i3.p1,TRINITY_DN62741_c0_g1_i4.p1
N0.HOG0002175,OG0000050,n60,TRINITY_DN82547_c0_g1_i3.p1,TRINITY_DN39610_c2_g1_i2.p1,TRINITY_DN5723_c1_g1_i1.p1,TRINITY_DN43191_c0_g1_i6.p1
N0.HOG0002176,OG0000050,n63,TRINITY_DN115370_c0_g1_i2.p1,TRINITY_DN1013_c0_g1_i24.p1,TRINITY_DN746_c0_g1_i5.p1,TRINITY_DN110_c0_g1_i7.p1
N0.HOG0002178,OG0000050,n69,TRINITY_DN20536_c0_g1_i7.p1,TRINITY_DN73216_c0_g1_i6.p1,TRINITY_DN80791_c0_g1_i4.p1,TRINITY_DN25163_c0_g1_i3.p1
N0.HOG0002180,OG0000050,n80,TRINITY_DN26837_c0_g1_i3.p1,TRINITY_DN289136_c0_g1_i1.p1,TRINITY_DN146614_c0_g1_i5.p1,TRINITY_DN31621_c0_g1_i2.p1
N0.HOG0002199,OG0000051,n52,TRINITY_DN342642_c0_g1_i1.p1,TRINITY_DN14588_c0_g1_i3.p1,TRINITY_DN12123_c5_g1_i5.p1,TRINITY_DN9704_c0_g1_i5.p1
N0.HOG0002246,OG0000052,n120,TRINITY_DN6094_c0_g1_i3.p1,TRINITY_DN29158_c0_g1_i2.p1,TRINITY_DN222716_c0_g1_i1.p1,TRINITY_DN260001_c0_g1_i1.p2
N0.HOG0002251,OG0000053,n18,TRINITY_DN162619_c0_g1_i2.p1,TRINITY_DN25151_c1_g3_i1.p1,TRINITY_DN68220_c0_g1_i3.p1,TRINITY_DN118697_c0_g1_i1.p1
N0.HOG0002257,OG0000053,n58,TRINITY_DN4768_c0_g1_i1.p2,TRINITY_DN3277_c1_g1_i4.p1,TRINITY_DN16960_c1_g1_i1.p1,TRINITY_DN32_c0_g1_i16.p1
N0.HOG0002321,OG0000056,n28,TRINITY_DN15209_c0_g1_i7.p1,TRINITY_DN3461_c0_g1_i6.p1,TRINITY_DN71460_c0_g1_i8.p1,TRINITY_DN31124_c0_g1_i2.p1
N0.HOG0002410,OG0000060,n1,TRINITY_DN23158_c0_g1_i14.p1,TRINITY_DN141900_c0_g1_i1.p1,TRINITY_DN11011_c0_g1_i10.p1,TRINITY_DN35603_c0_g1_i2.p1
N0.HOG0002427,OG0000061,n1,TRINITY_DN8439_c0_g1_i5.p1,TRINITY_DN11899_c0_g1_i1.p1,TRINITY_DN436_c0_g1_i3.p1,TRINITY_DN18309_c0_g1_i2.p1
N0.HOG0002440,OG0000061,n82,TRINITY_DN25013_c0_g1_i1.p1,TRINITY_DN3036_c3_g1_i1.p1,TRINITY_DN6873_c0_g1_i3.p1,TRINITY_DN22725_c0_g1_i2.p1
N0.HOG0002457,OG0000062,n68,TRINITY_DN348_c0_g1_i3.p1,TRINITY_DN879_c1_g1_i5.p1,TRINITY_DN628_c0_g1_i13.p1,TRINITY_DN3274_c1_g1_i4.p1
N0.HOG0002465,OG0000063,n24,TRINITY_DN22937_c0_g1_i3.p1,TRINITY_DN8916_c0_g1_i18.p1,TRINITY_DN7394_c0_g1_i11.p1,TRINITY_DN35231_c0_g1_i1.p1
N0.HOG0002466,OG0000063,n27,TRINITY_DN453170_c0_g1_i1.p1,TRINITY_DN324446_c0_g1_i3.p1,TRINITY_DN345584_c0_g1_i2.p1,TRINITY_DN462509_c0_g1_i1.p1
N0.HOG0002490,OG0000064,n9,TRINITY_DN8973_c1_g1_i14.p1,TRINITY_DN11172_c0_g1_i4.p1,TRINITY_DN10590_c0_g1_i15.p1,TRINITY_DN21110_c0_g1_i3.p1
N0.HOG0002493,OG0000064,n22,TRINITY_DN4341_c0_g1_i19.p1,TRINITY_DN10127_c0_g1_i1.p1,TRINITY_DN3867_c0_g1_i6.p1,TRINITY_DN4533_c0_g1_i5.p1
N0.HOG0002496,OG0000064,n40,TRINITY_DN2108_c0_g1_i7.p1,TRINITY_DN8349_c0_g1_i3.p1,TRINITY_DN19456_c1_g1_i5.p1,TRINITY_DN12676_c0_g1_i3.p1
N0.HOG0002498,OG0000064,n50,TRINITY_DN15929_c0_g1_i9.p1,TRINITY_DN16405_c0_g1_i1.p1,TRINITY_DN65255_c0_g1_i6.p1,TRINITY_DN28265_c0_g1_i1.p1
N0.HOG0002499,OG0000064,n53,TRINITY_DN10532_c1_g2_i1.p1,TRINITY_DN1358_c0_g2_i4.p1,TRINITY_DN14132_c0_g1_i1.p1,TRINITY_DN66373_c0_g1_i3.p1
N0.HOG0002500,OG0000064,n57,TRINITY_DN23219_c0_g1_i3.p1,TRINITY_DN673_c1_g1_i4.p1,TRINITY_DN46138_c0_g1_i4.p1,TRINITY_DN24125_c0_g1_i3.p1
N0.HOG0002501,OG0000064,n60,TRINITY_DN4093_c0_g1_i5.p1,TRINITY_DN673_c0_g1_i14.p1,TRINITY_DN38_c0_g1_i12.p1,TRINITY_DN1789_c1_g1_i3.p1
N0.HOG0002504,OG0000064,n74,TRINITY_DN12820_c0_g1_i1.p1,TRINITY_DN27805_c0_g1_i2.p1,TRINITY_DN48087_c0_g1_i9.p1,TRINITY_DN6109_c0_g1_i1.p1
N0.HOG0002526,OG0000065,n61,TRINITY_DN54_c4_g1_i8.p1,TRINITY_DN4114_c0_g1_i4.p1,TRINITY_DN9819_c0_g1_i7.p1,TRINITY_DN9765_c0_g1_i1.p1
N0.HOG0002527,OG0000065,n64,TRINITY_DN124449_c0_g1_i3.p1,TRINITY_DN3139_c0_g1_i6.p1,TRINITY_DN14421_c0_g1_i5.p1,TRINITY_DN25283_c0_g1_i8.p1
N0.HOG0002559,OG0000066,n66,TRINITY_DN40420_c0_g1_i3.p3,TRINITY_DN202596_c0_g1_i1.p1,TRINITY_DN252674_c0_g1_i3.p1,TRINITY_DN117123_c0_g1_i2.p1
N0.HOG0002597,OG0000068,n8,TRINITY_DN2805_c2_g1_i4.p1,TRINITY_DN20848_c0_g1_i12.p1,TRINITY_DN3032_c0_g2_i8.p1,TRINITY_DN6617_c0_g1_i3.p1
N0.HOG0002615,OG0000069,n3,TRINITY_DN24702_c0_g1_i11.p1,TRINITY_DN53028_c0_g1_i2.p1,TRINITY_DN158040_c0_g1_i3.p1,TRINITY_DN98819_c0_g1_i1.p1
N0.HOG0002647,OG0000070,n54,TRINITY_DN426_c2_g1_i4.p1,TRINITY_DN10475_c0_g1_i2.p1,TRINITY_DN36870_c0_g1_i6.p1,TRINITY_DN6044_c0_g1_i5.p1
N0.HOG0002684,OG0000072,n1,TRINITY_DN386983_c0_g1_i1.p1,TRINITY_DN483783_c0_g1_i1.p1,TRINITY_DN51285_c0_g1_i6.p1,TRINITY_DN222007_c0_g1_i1.p1
N0.HOG0002716,OG0000073,n7,TRINITY_DN12703_c0_g1_i12.p3,TRINITY_DN14716_c0_g1_i8.p1,TRINITY_DN26106_c0_g1_i2.p1,TRINITY_DN22497_c0_g1_i1.p1
N0.HOG0002721,OG0000073,n32,TRINITY_DN2102_c1_g1_i8.p1,TRINITY_DN1501_c0_g1_i7.p1,TRINITY_DN79685_c0_g1_i7.p1,TRINITY_DN51443_c0_g1_i2.p1
N0.HOG0002724,OG0000073,n42,TRINITY_DN48294_c0_g1_i10.p2,TRINITY_DN68097_c0_g1_i19.p1,TRINITY_DN93142_c0_g1_i6.p1,TRINITY_DN9024_c0_g1_i22.p1
N0.HOG0002732,OG0000073,n72,TRINITY_DN293_c2_g1_i7.p1,TRINITY_DN9582_c1_g1_i5.p1,TRINITY_DN28208_c0_g2_i1.p1,TRINITY_DN56599_c0_g1_i1.p1
N0.HOG0002743,OG0000074,n15,TRINITY_DN98260_c0_g1_i1.p1,TRINITY_DN106_c4_g1_i5.p1,TRINITY_DN30765_c1_g1_i4.p1,TRINITY_DN43763_c0_g1_i2.p1
N0.HOG0002772,OG0000075,n27,TRINITY_DN172_c0_g2_i1.p1,TRINITY_DN98_c0_g1_i5.p1,TRINITY_DN2772_c2_g2_i7.p1,TRINITY_DN543_c0_g1_i5.p1
N0.HOG0002841,OG0000078,n1,TRINITY_DN44255_c0_g1_i2.p2,TRINITY_DN529_c4_g1_i8.p1,TRINITY_DN22727_c0_g1_i19.p1,TRINITY_DN409_c0_g1_i5.p1
N0.HOG0002875,OG0000079,n74,TRINITY_DN42113_c0_g1_i3.p1,TRINITY_DN186594_c0_g1_i2.p1,TRINITY_DN40287_c0_g2_i2.p1,TRINITY_DN204928_c0_g1_i5.p1
N0.HOG0002876,OG0000079,n77,TRINITY_DN42113_c0_g2_i4.p1,TRINITY_DN212975_c0_g1_i1.p1,TRINITY_DN346996_c0_g1_i1.p1,TRINITY_DN96493_c0_g1_i1.p1
N0.HOG0002879,OG0000079,n89,TRINITY_DN22123_c0_g1_i5.p1,TRINITY_DN130077_c0_g1_i2.p1,TRINITY_DN210540_c0_g1_i3.p1,TRINITY_DN111907_c0_g1_i2.p1
N0.HOG0002882,OG0000080,n1,TRINITY_DN597_c0_g1_i8.p1,TRINITY_DN2711_c0_g1_i13.p1,TRINITY_DN1198_c0_g1_i7.p1,TRINITY_DN2506_c0_g1_i6.p1
N0.HOG0002896,OG0000080,n61,TRINITY_DN20308_c0_g1_i1.p1,TRINITY_DN8398_c0_g1_i8.p1,TRINITY_DN3104_c0_g1_i2.p1,TRINITY_DN539_c0_g1_i6.p4
N0.HOG0002912,OG0000081,n36,TRINITY_DN19907_c0_g1_i1.p1,TRINITY_DN4867_c0_g1_i1.p1,TRINITY_DN15506_c0_g1_i4.p1,TRINITY_DN396_c2_g1_i1.p1
N0.HOG0002913,OG0000081,n39,TRINITY_DN1213_c0_g1_i5.p1,TRINITY_DN13721_c0_g1_i8.p1,TRINITY_DN13681_c0_g2_i4.p1,TRINITY_DN3089_c0_g1_i7.p1
N0.HOG0002922,OG0000082,n13,TRINITY_DN1115_c0_g2_i3.p1,TRINITY_DN1470_c0_g2_i10.p1,TRINITY_DN11049_c1_g1_i3.p1,TRINITY_DN6833_c0_g1_i1.p1
N0.HOG0002924,OG0000082,n23,TRINITY_DN7644_c1_g1_i4.p1,TRINITY_DN18806_c0_g1_i17.p1,TRINITY_DN1823_c0_g1_i3.p1,TRINITY_DN2860_c0_g1_i2.p1
N0.HOG0002939,OG0000082,n96,TRINITY_DN7684_c0_g1_i2.p1,TRINITY_DN16580_c0_g1_i10.p1,TRINITY_DN15854_c0_g1_i3.p1,TRINITY_DN12757_c0_g1_i2.p1
N0.HOG0002950,OG0000083,n49,TRINITY_DN10531_c1_g1_i9.p1,TRINITY_DN15141_c1_g1_i3.p1,TRINITY_DN503619_c0_g1_i1.p1,TRINITY_DN26220_c1_g1_i1.p1
N0.HOG0002960,OG0000084,n1,TRINITY_DN197860_c0_g1_i3.p1,TRINITY_DN162134_c0_g1_i2.p2,TRINITY_DN132108_c0_g1_i2.p1,TRINITY_DN116046_c0_g1_i1.p1
N0.HOG0002965,OG0000084,n23,TRINITY_DN72838_c0_g1_i1.p1,TRINITY_DN263617_c0_g1_i2.p1,TRINITY_DN327216_c0_g1_i1.p1,TRINITY_DN176234_c0_g1_i1.p1
N0.HOG0003010,OG0000086,n19,TRINITY_DN27414_c0_g1_i3.p1,TRINITY_DN187027_c0_g1_i3.p1,TRINITY_DN173208_c0_g1_i2.p1,TRINITY_DN107307_c0_g1_i2.p1
N0.HOG0003053,OG0000088,n24,TRINITY_DN66081_c0_g1_i2.p1,TRINITY_DN95778_c0_g1_i6.p1,TRINITY_DN28781_c0_g1_i3.p1,TRINITY_DN7681_c0_g1_i6.p1
N0.HOG0003054,OG0000088,n30,TRINITY_DN15625_c3_g1_i14.p1,TRINITY_DN87191_c0_g1_i7.p1,TRINITY_DN31193_c0_g1_i2.p1,TRINITY_DN25750_c0_g1_i6.p1
N0.HOG0003061,OG0000088,n61,TRINITY_DN270662_c0_g1_i1.p1,TRINITY_DN51036_c0_g1_i5.p1,TRINITY_DN214178_c0_g1_i13.p1,TRINITY_DN22045_c0_g1_i11.p1
N0.HOG0003088,OG0000089,n82,TRINITY_DN135477_c0_g1_i1.p1,TRINITY_DN192058_c0_g1_i1.p1,TRINITY_DN187068_c0_g1_i3.p1,TRINITY_DN189537_c0_g1_i1.p1
